Location,HealthcareName,ServiceType
Sharbot Lake,Providence Care,Mental Health and Addiction Organization
Napanee,Providence Care,Mental Health and Addiction Organization
Napanee,Providence Care,Mental Health and Addiction Organization
Kingston,Providence Care,Mental Health and Addiction Organization
Stratford,Stratford General Hospital,Mental Health and Addiction Organization
Listowel,Stratford General Hospital,Mental Health and Addiction Organization
Huron East,Stratford General Hospital,Mental Health and Addiction Organization
Toronto,Sound Times Support Services of Metropolitan Toronto,Mental Health and Addiction Organization
Grimsby,West Lincoln Memorial Hospital,Mental Health and Addiction Organization
Peterborough,Peterborough Regional Health Centre,Mental Health and Addiction Organization
Peterborough,Peterborough Regional Health Centre,Mental Health and Addiction Organization
Toronto,East York Mental Health Counselling Services Agency,Mental Health and Addiction Organization
Toronto,Schizophrenia Society of Ontario,Mental Health and Addiction Organization
Oakville,Schizophrenia Society of Ontario,Mental Health and Addiction Organization
Hamilton,Schizophrenia Society of Ontario,Mental Health and Addiction Organization
Ottawa,Schizophrenia Society of Ontario,Mental Health and Addiction Organization
Lucan,Crest Support Services,Mental Health and Addiction Organization
Timmins,Canadian Mental Health Association (CMHA) Cochrane Timiskaming Branch,Mental Health and Addiction Organization
Kirkland Lake,Canadian Mental Health Association (CMHA) Cochrane Timiskaming Branch,Mental Health and Addiction Organization
Temiskaming Shores,Canadian Mental Health Association (CMHA) Cochrane Timiskaming Branch,Mental Health and Addiction Organization
Englehart,Canadian Mental Health Association (CMHA) Cochrane Timiskaming Branch,Mental Health and Addiction Organization
Temiskaming Shores,Canadian Mental Health Association (CMHA) Cochrane Timiskaming Branch,Mental Health and Addiction Organization
Timmins,Canadian Mental Health Association (CMHA) Cochrane Timiskaming Branch,Mental Health and Addiction Organization
Kirkland Lake,Canadian Mental Health Association (CMHA) Cochrane Timiskaming Branch,Mental Health and Addiction Organization
Temiskaming Shores,Canadian Mental Health Association (CMHA) Cochrane Timiskaming Branch,Mental Health and Addiction Organization
Newmarket,Canadian Mental Health Association (CMHA) York Region Branch,Mental Health and Addiction Organization
Newmarket,Canadian Mental Health Association (CMHA) York Region Branch,Mental Health and Addiction Organization
Aurora,Canadian Mental Health Association (CMHA) York Region Branch,Mental Health and Addiction Organization
Markham,Canadian Mental Health Association (CMHA) York Region Branch,Mental Health and Addiction Organization
New Tecumseth,Canadian Mental Health Association (CMHA) York Region Branch,Mental Health and Addiction Organization
Vaughan,Canadian Mental Health Association (CMHA) York Region Branch,Mental Health and Addiction Organization
Whitby,Victorian Order of Nurses (VON) Canada - Ontario Branch,Mental Health and Addiction Organization
Kenora,Kenora Association for Community Living,Mental Health and Addiction Organization
Kenora,Kenora Association for Community Living,Mental Health and Addiction Organization
Kenora,Kenora Association for Community Living,Mental Health and Addiction Organization
Kenora,Kenora Sexual Assault Centre,Mental Health and Addiction Organization
Cobourg,Northumberland Hills Hospital,Mental Health and Addiction Organization
Cobourg,Northumberland Hills Hospital,Mental Health and Addiction Organization
Timmins,Timmins Consumer Survivor Network (TCSN) Inc.,Mental Health and Addiction Organization
Iroquois Falls,Timmins Consumer Survivor Network (TCSN) Inc.,Mental Health and Addiction Organization
Cochrane,Timmins Consumer Survivor Network (TCSN) Inc.,Mental Health and Addiction Organization
St. Thomas,Psychiatric Survivors Network of Elgin (PSNE),Mental Health and Addiction Organization
Windsor,Bulimia Anorexia Nervosa Association (BANA),Mental Health and Addiction Organization
Windsor,Mental Health Consumer/Survivor Employment Association of Essex County (MHCSEAEC),Mental Health and Addiction Organization
North Bay,People For Equal Partnership In Mental Health (PEP),Mental Health and Addiction Organization
Temagami,People For Equal Partnership In Mental Health (PEP),Mental Health and Addiction Organization
Mattawa,People For Equal Partnership In Mental Health (PEP),Mental Health and Addiction Organization
Oshawa,Alzheimer Society of Durham Region,Mental Health and Addiction Organization
Thunder Bay,Sexual Abuse Centre (Thunder Bay),Mental Health and Addiction Organization
Toronto,Trinity Square Cafe,Mental Health and Addiction Organization
Toronto,Trinity Square Cafe,Mental Health and Addiction Organization
Midland,Huronia Transition Homes,Mental Health and Addiction Organization
Barrie,Huronia Transition Homes,Mental Health and Addiction Organization
New Tecumseth,Huronia Transition Homes,Mental Health and Addiction Organization
Collingwood,Huronia Transition Homes,Mental Health and Addiction Organization
Cochrane,Minto Counselling Centre,Mental Health and Addiction Organization
Iroquois Falls,Minto Counselling Centre,Mental Health and Addiction Organization
Matheson,Minto Counselling Centre,Mental Health and Addiction Organization
Toronto,"Parkdale Activity - Recreation Centre (PARC), The",Mental Health and Addiction Organization
Toronto,Street Health Community Nursing Foundation,Mental Health and Addiction Organization
Toronto,Gerstein Crisis Centre,Mental Health and Addiction Organization
Toronto,Gerstein Crisis Centre,Mental Health and Addiction Organization
Toronto,Gerstein Crisis Centre,Mental Health and Addiction Organization
Toronto,Gerstein Crisis Centre,Mental Health and Addiction Organization
Toronto,Gerstein Crisis Centre,Mental Health and Addiction Organization
Toronto,Gerstein Crisis Centre,Mental Health and Addiction Organization
Cornwall,Cornwall Community Hospital,Mental Health and Addiction Organization
Cornwall,Cornwall Community Hospital,Mental Health and Addiction Organization
Cornwall,Cornwall Community Hospital,Mental Health and Addiction Organization
Alexandria,Cornwall Community Hospital,Mental Health and Addiction Organization
Winchester,Cornwall Community Hospital,Mental Health and Addiction Organization
Alexandria,Cornwall Community Hospital,Mental Health and Addiction Organization
Winchester,Cornwall Community Hospital,Mental Health and Addiction Organization
Elliot Lake,North Shore Community Support Services Inc.,Mental Health and Addiction Organization
Victoria Harbour,Enaahtig Healing Lodge and Learning Centre,Mental Health and Addiction Organization
Orillia,Enaahtig Healing Lodge and Learning Centre,Mental Health and Addiction Organization
Brantford,Brant Community Healthcare System,Mental Health and Addiction Organization
Toronto,Sistering - A Woman's Place,Mental Health and Addiction Organization
Toronto,Sistering - A Woman's Place,Mental Health and Addiction Organization
Woodstock,Canadian Mental Health Association (CMHA) Oxford County Branch,Mental Health and Addiction Organization
Tillsonburg,Canadian Mental Health Association (CMHA) Oxford County Branch,Mental Health and Addiction Organization
Ingersoll,Canadian Mental Health Association (CMHA) Oxford County Branch,Mental Health and Addiction Organization
Toronto,Central Toronto Youth Services,Mental Health and Addiction Organization
Fort Frances,Canadian Mental Health Association (CMHA) Fort Frances Branch,Mental Health and Addiction Organization
Dryden,Canadian Mental Health Association (CMHA) Fort Frances Branch,Mental Health and Addiction Organization
Sioux Lookout,Canadian Mental Health Association (CMHA) Fort Frances Branch,Mental Health and Addiction Organization
Red Lake,Canadian Mental Health Association (CMHA) Fort Frances Branch,Mental Health and Addiction Organization
Fort Frances,Canadian Mental Health Association (CMHA) Fort Frances Branch,Mental Health and Addiction Organization
Kenora,Canadian Mental Health Association (CMHA) Fort Frances Branch,Mental Health and Addiction Organization
Windsor,Mental Health Connections,Mental Health and Addiction Organization
Leamington,Mental Health Connections,Mental Health and Addiction Organization
Leamington,Mental Health Connections,Mental Health and Addiction Organization
Ottawa,Canadian Mental Health Association (CMHA) Ottawa Branch,Mental Health and Addiction Organization
Toronto,"St. Christopher House, The",Mental Health and Addiction Organization
Toronto,"St. Christopher House, The",Mental Health and Addiction Organization
Mississauga,Services and Housing In the Province (SHIP),Mental Health and Addiction Organization
Orangeville,Services and Housing In the Province (SHIP),Mental Health and Addiction Organization
Caledon,Services and Housing In the Province (SHIP),Mental Health and Addiction Organization
Belleville,Peer Support South East Ontario,Mental Health and Addiction Organization
Belleville,Peer Support South East Ontario,Mental Health and Addiction Organization
Madoc,Peer Support South East Ontario,Mental Health and Addiction Organization
Quinte West,Peer Support South East Ontario,Mental Health and Addiction Organization
Prince Edward,Peer Support South East Ontario,Mental Health and Addiction Organization
Bancroft,Peer Support South East Ontario,Mental Health and Addiction Organization
Napanee,Peer Support South East Ontario,Mental Health and Addiction Organization
Kingston,Peer Support South East Ontario,Mental Health and Addiction Organization
Prescott,Peer Support South East Ontario,Mental Health and Addiction Organization
Prescott,Peer Support South East Ontario,Mental Health and Addiction Organization
Sault Ste. Marie,Phoenix Rising Non-Profit Homes and Women's Centre  Inc.,Mental Health and Addiction Organization
Sault Ste. Marie,Phoenix Rising Non-Profit Homes and Women's Centre  Inc.,Mental Health and Addiction Organization
Ottawa,Upstream Ottawa Mental Health Community Support,Mental Health and Addiction Organization
Smiths Falls,Lanark Health and Community Services,Mental Health and Addiction Organization
Lanark,Lanark Health and Community Services,Mental Health and Addiction Organization
Carleton Place,Open Doors For Lanark Children and Youth,Mental Health and Addiction Organization
Toronto,Sunnybrook Health Sciences Centre,Mental Health and Addiction Organization
Kingston,Kingston Community Health Centres,Mental Health and Addiction Organization
London,Southwest Ontario Aboriginal Health Access Centre,Mental Health and Addiction Organization
Muncey,Southwest Ontario Aboriginal Health Access Centre,Mental Health and Addiction Organization
Windsor,Southwest Ontario Aboriginal Health Access Centre,Mental Health and Addiction Organization
Owen Sound,Southwest Ontario Aboriginal Health Access Centre,Mental Health and Addiction Organization
Kitchener,Ray of Hope Inc.,Mental Health and Addiction Organization
Kitchener,Ray of Hope Inc.,Mental Health and Addiction Organization
Toronto,City of Toronto,Mental Health and Addiction Organization
Windsor,Children First in Essex County,Mental Health and Addiction Organization
Belleville,Children's Mental Health Services of Hastings and Prince Edward,Mental Health and Addiction Organization
Bancroft,Children's Mental Health Services of Hastings and Prince Edward,Mental Health and Addiction Organization
Prince Edward,Children's Mental Health Services of Hastings and Prince Edward,Mental Health and Addiction Organization
Quinte West,Children's Mental Health Services of Hastings and Prince Edward,Mental Health and Addiction Organization
Madoc,Children's Mental Health Services of Hastings and Prince Edward,Mental Health and Addiction Organization
Kawartha Lakes,Chimo Youth & Family Services,Mental Health and Addiction Organization
Sarnia,Youth Services of Lambton County Inc.,Mental Health and Addiction Organization
Hamilton,Lynwood Charlton Centre,Mental Health and Addiction Organization
Hamilton,Lynwood Charlton Centre,Mental Health and Addiction Organization
Hamilton,Lynwood Charlton Centre,Mental Health and Addiction Organization
Hamilton,Lynwood Charlton Centre,Mental Health and Addiction Organization
Kenora,Firefly,Mental Health and Addiction Organization
Pembroke,Phoenix Centre for Children and Families,Mental Health and Addiction Organization
Renfrew,Phoenix Centre for Children and Families,Mental Health and Addiction Organization
Arnprior,Phoenix Centre for Children and Families,Mental Health and Addiction Organization
Killaloe,Phoenix Centre for Children and Families,Mental Health and Addiction Organization
Petawawa,Phoenix Centre for Children and Families,Mental Health and Addiction Organization
London,Vanier Children's Services,Mental Health and Addiction Organization
Toronto,Pine River Institute,Mental Health and Addiction Organization
Ottawa,Montfort Renaissance Inc.,Mental Health and Addiction Organization
Ottawa,Montfort Renaissance Inc.,Mental Health and Addiction Organization
Ottawa,Montfort Renaissance Inc.,Mental Health and Addiction Organization
Ottawa,Montfort Renaissance Inc.,Mental Health and Addiction Organization
Fort Frances,Fort Frances Tribal Area Health Services Inc.,Mental Health and Addiction Organization
Fort Frances,Fort Frances Tribal Area Health Services Inc.,Mental Health and Addiction Organization
Gravenhurst,Fort Frances Tribal Area Health Services Inc.,Mental Health and Addiction Organization
Toronto,Women's College Hospital,Mental Health and Addiction Organization
Kenora,Waasegiizhig Nanaandawe'iyewigamig,Mental Health and Addiction Organization
Cutler,Maamwesying North Shore Community Health Services Inc.,Mental Health and Addiction Organization
Naughton,Maamwesying North Shore Community Health Services Inc.,Mental Health and Addiction Organization
Massey,Maamwesying North Shore Community Health Services Inc.,Mental Health and Addiction Organization
Cutler,Maamwesying North Shore Community Health Services Inc.,Mental Health and Addiction Organization
Blind River,Maamwesying North Shore Community Health Services Inc.,Mental Health and Addiction Organization
Thessalon,Maamwesying North Shore Community Health Services Inc.,Mental Health and Addiction Organization
Garden River,Maamwesying North Shore Community Health Services Inc.,Mental Health and Addiction Organization
Sault Ste. Marie,Maamwesying North Shore Community Health Services Inc.,Mental Health and Addiction Organization
Sault Ste. Marie,Maamwesying North Shore Community Health Services Inc.,Mental Health and Addiction Organization
Massey,Maamwesying North Shore Community Health Services Inc.,Mental Health and Addiction Organization
Thessalon,Maamwesying North Shore Community Health Services Inc.,Mental Health and Addiction Organization
Sault Ste. Marie,Maamwesying North Shore Community Health Services Inc.,Mental Health and Addiction Organization
Little Current,Noojmowin Teg Health Centre,Mental Health and Addiction Organization
Wikwemikong,Noojmowin Teg Health Centre,Mental Health and Addiction Organization
Little Current,Noojmowin Teg Health Centre,Mental Health and Addiction Organization
M'Chigeeng,Noojmowin Teg Health Centre,Mental Health and Addiction Organization
Sheshegwaning,Noojmowin Teg Health Centre,Mental Health and Addiction Organization
Sheshegwaning,Noojmowin Teg Health Centre,Mental Health and Addiction Organization
Birch Island,Noojmowin Teg Health Centre,Mental Health and Addiction Organization
Little Britain,Noojmowin Teg Health Centre,Mental Health and Addiction Organization
Espanola,Noojmowin Teg Health Centre,Mental Health and Addiction Organization
Fort Frances,Gizhewaadiziwin Health Access Centre,Mental Health and Addiction Organization
Ottawa,Wabano Centre for Aboriginal Health,Mental Health and Addiction Organization
Hamilton,De Dwa Da Dehs Nye Aboriginal Health Access Centre,Mental Health and Addiction Organization
Brantford,De Dwa Da Dehs Nye Aboriginal Health Access Centre,Mental Health and Addiction Organization
St. Catharines,De Dwa Da Dehs Nye Aboriginal Health Access Centre,Mental Health and Addiction Organization
Thunder Bay,Brain Injury Services of Northern Ontario,Mental Health and Addiction Organization
Greater Sudbury,Shkagamik-kwe Health Centre,Mental Health and Addiction Organization
Pawitik,White Fish Bay Health Services,Mental Health and Addiction Organization
Ohsweken,Six Nations Council,Mental Health and Addiction Organization
Windsor,Maryvale Adolescent and Family Services,Mental Health and Addiction Organization
Niagara Falls,Niagara Falls Community Health Centre,Mental Health and Addiction Organization
Windsor,Windsor Essex Community Health Centre,Mental Health and Addiction Organization
Windsor,Windsor Essex Community Health Centre,Mental Health and Addiction Organization
Windsor,Windsor Essex Community Health Centre,Mental Health and Addiction Organization
Leamington,Windsor Essex Community Health Centre,Mental Health and Addiction Organization
Amherstburg,Windsor Essex Community Health Centre,Mental Health and Addiction Organization
Mississauga,Punjabi Community Health Services (PCHS),Mental Health and Addiction Organization
Sarnia,Canadian Mental Health Association (CMHA) Lambton Kent Branch,Mental Health and Addiction Organization
Petrolia,Canadian Mental Health Association (CMHA) Lambton Kent Branch,Mental Health and Addiction Organization
Lambton Shores,Canadian Mental Health Association (CMHA) Lambton Kent Branch,Mental Health and Addiction Organization
Sarnia,Canadian Mental Health Association (CMHA) Lambton Kent Branch,Mental Health and Addiction Organization
Lambton Shores,Canadian Mental Health Association (CMHA) Lambton Kent Branch,Mental Health and Addiction Organization
Chatham-Kent,Canadian Mental Health Association (CMHA) Lambton Kent Branch,Mental Health and Addiction Organization
Chatham-Kent,Canadian Mental Health Association (CMHA) Lambton Kent Branch,Mental Health and Addiction Organization
Walpole Island,Canadian Mental Health Association (CMHA) Lambton Kent Branch,Mental Health and Addiction Organization
Chatham-Kent,Canadian Mental Health Association (CMHA) Lambton Kent Branch,Mental Health and Addiction Organization
Chatham-Kent,Canadian Mental Health Association (CMHA) Lambton Kent Branch,Mental Health and Addiction Organization
Sarnia,Canadian Mental Health Association (CMHA) Lambton Kent Branch,Mental Health and Addiction Organization
Lambton Shores,Canadian Mental Health Association (CMHA) Lambton Kent Branch,Mental Health and Addiction Organization
North Bay,North Bay Regional Health Centre,Mental Health and Addiction Organization
North Bay,North Bay Regional Health Centre,Mental Health and Addiction Organization
North Bay,North Bay Regional Health Centre,Mental Health and Addiction Organization
Timmins,North Bay Regional Health Centre,Mental Health and Addiction Organization
Greater Sudbury,North Bay Regional Health Centre,Mental Health and Addiction Organization
Sault Ste. Marie,North Bay Regional Health Centre,Mental Health and Addiction Organization
North Bay,North Bay Regional Health Centre,Mental Health and Addiction Organization
North Bay,North Bay Regional Health Centre,Mental Health and Addiction Organization
Toronto,Fred Victor Centre,Mental Health and Addiction Organization
Toronto,Fred Victor Centre,Mental Health and Addiction Organization
Toronto,Fred Victor Centre,Mental Health and Addiction Organization
Toronto,Fred Victor Centre,Mental Health and Addiction Organization
Toronto,Fred Victor Centre,Mental Health and Addiction Organization
Toronto,Fred Victor Centre,Mental Health and Addiction Organization
Toronto,Fife House,Mental Health and Addiction Organization
Fort Frances,Fort Frances Family Health Team,Mental Health and Addiction Organization
Fort Frances,Fort Frances Family Health Team,Mental Health and Addiction Organization
Burlington,Burlington Family Health Team,Mental Health and Addiction Organization
Ingersoll,Ingersoll Nurse Practitioner-Led Clinic,Mental Health and Addiction Organization
Ingersoll,Ingersoll Nurse Practitioner-Led Clinic,Mental Health and Addiction Organization
Woodstock,Oxford County Community Health Centre,Mental Health and Addiction Organization
Tillsonburg,Oxford County Community Health Centre,Mental Health and Addiction Organization
Sarnia,Chatham-Kent Community Health Centres,Mental Health and Addiction Organization
Chatham-Kent,Chatham-Kent Community Health Centres,Mental Health and Addiction Organization
Chatham-Kent,Chatham-Kent Community Health Centres,Mental Health and Addiction Organization
Chatham-Kent,Chatham-Kent Community Health Centres,Mental Health and Addiction Organization
St. Catharines,Quest Community Health Centre,Mental Health and Addiction Organization
Toronto,Senior Persons Living Connected,Mental Health and Addiction Organization
Toronto,Good Shepherd Refuge Social Ministries,Mental Health and Addiction Organization
St. Thomas,St. Thomas Elgin General Hospital,Mental Health and Addiction Organization
Toronto,Arrabon House,Mental Health and Addiction Organization
London,Canadian Mental Health Association (CMHA) Middlesex,Mental Health and Addiction Organization
London,Canadian Mental Health Association (CMHA) Middlesex,Mental Health and Addiction Organization
London,Canadian Mental Health Association (CMHA) Middlesex,Mental Health and Addiction Organization
London,Canadian Mental Health Association (CMHA) Middlesex,Mental Health and Addiction Organization
Strathroy,Canadian Mental Health Association (CMHA) Middlesex,Mental Health and Addiction Organization
Goderich,Canadian Mental Health Association (CMHA) Middlesex,Mental Health and Addiction Organization
Exeter,Canadian Mental Health Association (CMHA) Middlesex,Mental Health and Addiction Organization
London,Canadian Mental Health Association (CMHA) Middlesex,Mental Health and Addiction Organization
Ottawa,Jewish Family Services of Ottawa-Carleton,Mental Health and Addiction Organization
Ottawa,Jewish Family Services of Ottawa-Carleton,Mental Health and Addiction Organization
Ottawa,Jewish Family Services of Ottawa-Carleton,Mental Health and Addiction Organization
Deep River,Jewish Family Services of Ottawa-Carleton,Mental Health and Addiction Organization
Cornwall,Jewish Family Services of Ottawa-Carleton,Mental Health and Addiction Organization
Ottawa,Jewish Family Services of Ottawa-Carleton,Mental Health and Addiction Organization
Ottawa,Jewish Family Services of Ottawa-Carleton,Mental Health and Addiction Organization
Ottawa,Jewish Family Services of Ottawa-Carleton,Mental Health and Addiction Organization
Ottawa,Jewish Family Services of Ottawa-Carleton,Mental Health and Addiction Organization
Hamilton,Wesley,Mental Health and Addiction Organization
Ottawa,University of Ottawa Heart Institute,Mental Health and Addiction Organization
Dunnville,Haldimand War Memorial Hospital,Mental Health and Addiction Organization
Niagara Falls,Heart Niagara,Mental Health and Addiction Organization
Atikokan,Atikokan Family Health Team,Mental Health and Addiction Organization
Orillia,Hospice Orillia,Mental Health and Addiction Organization
Windsor,Victorian Order of Nurses (VON) Canada -Windsor,Mental Health and Addiction Organization
Toronto,Ontario Telemedicine Network,Mental Health and Addiction Organization
Barrie,YMCA of Simcoe Muskoka,Mental Health and Addiction Organization
Barrie,YMCA of Simcoe Muskoka,Mental Health and Addiction Organization
Greater Sudbury,Northern Initiative for Social Action,Mental Health and Addiction Organization
Espanola,Espanola Regional Hospital and Health Centre,Mental Health and Addiction Organization
Windsor,Erie - St. Clair Clinic,Mental Health and Addiction Organization
Leamington,Erie - St. Clair Clinic,Mental Health and Addiction Organization
Mattawa,Mattawa Hospital,Mental Health and Addiction Organization
Chatham-Kent,The Mental Health Network of Chatham-Kent,Mental Health and Addiction Organization
Hamilton,Indwell Community Homes,Mental Health and Addiction Organization
Hamilton,Indwell Community Homes,Mental Health and Addiction Organization
Hamilton,Indwell Community Homes,Mental Health and Addiction Organization
London,Indwell Community Homes,Mental Health and Addiction Organization
Woodstock,Indwell Community Homes,Mental Health and Addiction Organization
Simcoe,Indwell Community Homes,Mental Health and Addiction Organization
New Tecumseth,Caring Hands Midwifery Services,Midwifery Clinic
Owen Sound,Midwives Grey Bruce,Midwifery Clinic
Walkerton,Midwives Grey Bruce,Midwifery Clinic
Barrie,Barrie Midwives,Midwifery Clinic
Collingwood,Midwives Nottawasaga,Midwifery Clinic
Midland,Midland Midwives by the Bay,Midwifery Clinic
St. Catharines,Niagara Midwifery,Midwifery Clinic
Welland,Sages Femmes Renaissance Midwifery,Midwifery Clinic
Niagara Falls,Sages Femmes Renaissance Midwifery,Midwifery Clinic
Dunnville,Midwives of East Erie,Midwifery Clinic
Lincoln,Lincoln Midwives,Midwifery Clinic
Kenora,Kenora Midwives,Midwifery Clinic
Thunder Bay,Community Midwives of Thunder Bay,Midwifery Clinic
Thunder Bay,Maternity Care Midwives - Thunder Bay,Midwifery Clinic
Guelph,Guelph Midwives,Midwifery Clinic
Guelph,Family Midwifery Care of Guelph,Midwifery Clinic
Grand Valley,Grand Valley Midwives,Midwifery Clinic
Oakville,Community Midwives of Halton,Midwifery Clinic
Burlington,Burlington & Area Midwives,Midwifery Clinic
Milton,Hawthorne Midwives,Midwifery Clinic
Kitchener,Kitchener Waterloo Midwifery Associates,Midwifery Clinic
Kitchener,Genesis Midwives,Midwifery Clinic
Waterloo,Blue Heron Midwives,Midwifery Clinic
Cambridge,Cambridge Midwives,Midwifery Clinic
Cambridge,Born Midwives,Midwifery Clinic
Ajax,Midwifery Services of Durham,Midwifery Clinic
Uxbridge,Uxbridge Community Midwives,Midwifery Clinic
Peterborough,Kawartha Community Midwives,Midwifery Clinic
Oshawa,Community Care Midwives,Midwifery Clinic
Kawartha Lakes,Midwives of Lindsay & the Lakes,Midwifery Clinic
Belleville,Quinte Midwives,Midwifery Clinic
Haliburton,Midwifery Services of Haliburton-Bancroft,Midwifery Clinic
Bowmanville,New Life Midwives,Midwifery Clinic
Orillia,Orillia Midwives,Midwifery Clinic
Windsor,Midwives of Windsor,Midwifery Clinic
Windsor,Midwifery Collective Of Essex County,Midwifery Clinic
Sault Ste. Marie,Midwives of Algoma,Midwifery Clinic
Kingston,Community Midwives of Kingston,Midwifery Clinic
Ottawa,Midwifery Collecive of Ottawa,Midwifery Clinic
Ottawa,Midwifery Group of Ottawa,Midwifery Clinic
Carleton Place,Ottawa Valley Midwives,Midwifery Clinic
Ottawa,Ottawa Valley Midwives,Midwifery Clinic
Cornwall,Gentle Beginnings Midwifery,Midwifery Clinic
Winchester,Gentle Beginnings Midwifery,Midwifery Clinic
Embrun,Gentle Beginnings Midwifery,Midwifery Clinic
Ottawa,Gentle Beginnings Midwifery,Midwifery Clinic
Killaloe,Madawaska Valley Midwives,Midwifery Clinic
Ottawa,East Ottawa Midwives,Midwifery Clinic
Brockville,Generations Midwifery Care,Midwifery Clinic
Ottawa,Ottawa South Midwives,Midwifery Clinic
Ottawa,Community Midwives of Ottawa,Midwifery Clinic
Sarnia,Midwifery Services of Lambton-Kent,Midwifery Clinic
London,Womancare Midwives,Midwifery Clinic
London,Thames Valley Midwives,Midwifery Clinic
Saint Thomas,Talbot Creek Midwives,Midwifery Clinic
Chatham-Kent,Midwives of Chatham-Kent Inc,Midwifery Clinic
London,Midwives of Middlesex and Area,Midwifery Clinic
Milverton,Countryside Midwifery Services,Midwifery Clinic
Blyth,Huron Midwives,Midwifery Clinic
Stratford,Stratford Midwives,Midwifery Clinic
Powassan,K'Tigaaning Midwives,Midwifery Clinic
North Bay,K'Tigaaning Midwives,Midwifery Clinic
Sudbury,Sudbury Community Midwifery Practice,Midwifery Clinic
Sheguiandah,Manitoulin Midwifery,Midwifery Clinic
North Bay,Midwives Sages-Femmes of North Bay,Midwifery Clinic
Hearst,Pratique S.-F. de Hearst Midwifery Practice,Midwifery Clinic
Bracebridge,Midwives of Muskoka,Midwifery Clinic
Timmins,Boreal Midwifery Practice,Midwifery Clinic
Temiskaming Shores,Sages-Femmes Temiskaming Midwives,Midwifery Clinic
Attawapiskat,Neepeeshowan Midwives,Midwifery Clinic
Elliot Lake,North Channel Midwifery,Midwifery Clinic
Parry Sound,Midwives of Georgian Bay,Midwifery Clinic
Saint Jacobs,St. Jacobs Midwives,Midwifery Clinic
Toronto,Community Midwives of Toronto,Midwifery Clinic
Toronto,Midwife Alliance,Midwifery Clinic
Toronto,Midwives Collective of Toronto,Midwifery Clinic
Toronto,Riverdale Community Midwives,Midwifery Clinic
Mississauga,Midwives of Mississauga,Midwifery Clinic
Toronto,Midwifery Care – North Don River Valley,Midwifery Clinic
Toronto,Midwifery Care – North Don River Valley,Midwifery Clinic
Toronto,Kensington Midwives,Midwifery Clinic
Toronto,Diversity Midwives,Midwifery Clinic
Toronto,The Midwives’ Clinic of East York-Don Mills,Midwifery Clinic
Aurora,Midwives of York Region,Midwifery Clinic
Toronto,Sages-Femmes Rouge Valley Midwives,Midwifery Clinic
Toronto,Seventh Generation Midwives Toronto,Midwifery Clinic
Toronto,West End Midwives,Midwifery Clinic
Vaughan,Family Care Midwives,Midwifery Clinic
Laurel,Midwives of Headwater Hills,Midwifery Clinic
Mississauga,East Mississauga Midwives,Midwifery Clinic
Brampton,AMMA Midwifery,Midwifery Clinic
Toronto,Positive Parenting Program,Midwifery Clinic
Markham,Trillium Midwives,Midwifery Clinic
Brampton,Midwives of Brampton and Halton Hills,Midwifery Clinic
Halton Hills,Midwives of Brampton and Halton Hills,Midwifery Clinic
Simcoe,Norfolk Roots,Midwifery Clinic
Hamilton,The Hamilton Midwives,Midwifery Clinic
Hamilton,Community Midwives of Hamilton,Midwifery Clinic
Brantford,Community Midwives of Brantford,Midwifery Clinic
Hamilton,Access Midwives,Midwifery Clinic
Hamilton,Mountain Midwifery Care,Midwifery Clinic
Barrie,Barrie Community Health Centre,Midwifery Clinic
Welland,Centre de sante communautaire Hamilton/Niagara,Midwifery Clinic
Thunder Bay,Thunder Bay Counselling Centre,Midwifery Clinic
Guelph,Guelph Community Health Centre,Midwifery Clinic
Oakville,Halton Healthcare Services Corporation,Midwifery Clinic
Kitchener,Kitchener Downtown Community Health Centre,Midwifery Clinic
Cambridge,Langs Farm Village Association,Midwifery Clinic
Markham,Markham Stouffville Hospital,Midwifery Clinic
Peterborough,Peterborough Family Resource Centre,Midwifery Clinic
Windsor,Windsor Essex Community Health Centre,Midwifery Clinic
Sault Ste. Marie,Sault Area Hospital,Midwifery Clinic
Ottawa,South-East Ottawa Community Health Centre,Midwifery Clinic
London,London Health Sciences,Midwifery Clinic
Stratford,Stratford General Hospital,Midwifery Clinic
North Bay,VON-North Bay,Midwifery Clinic
Saint Jacobs,Woolwich Community Health Centre,Midwifery Clinic
Toronto,Unison Health and Community Services,Midwifery Clinic
Brampton,Unison Health and Community Services,Midwifery Clinic
Brantford,Grand River Community Health Centre,Midwifery Clinic
Sault Ste. Marie,Algoma Nurse Practitioner-Led Clinic,Nurse Practitioner Led Clinic
Belleville,Belleville,Nurse Practitioner Led Clinic
Capreol,Capreol Nurse Practitioner-Led Clinic,Nurse Practitioner Led Clinic
Oshawa,CMHA Durham,Nurse Practitioner Led Clinic
Toronto,Emery-Keelesdale,Nurse Practitioner Led Clinic
Essex,Essex County,Nurse Practitioner Led Clinic
French River,French River Nurse Practitioner-Led Clinic,Nurse Practitioner Led Clinic
Barrie,Georgian,Nurse Practitioner Led Clinic
Georgina,Georgina,Nurse Practitioner Led Clinic
Lancaster,Glengarry,Nurse Practitioner Led Clinic
London,Health Zone,Nurse Practitioner Led Clinic
Toronto,HF Connecting Health,Nurse Practitioner Led Clinic
Hillsdale,Huronia,Nurse Practitioner Led Clinic
Ingersoll,Ingersoll,Nurse Practitioner Led Clinic
Thunder Bay,Lakehead Nurse Practitioner-Led Clinic,Nurse Practitioner Led Clinic
